county,fuel,ID,Lat,Lng,name,brand,addr1,addr2,price,trend,dateupdated,dateupdatedshort,Updater,Zone,County
Tipperary,Diesel,1228,52.675593473,-7.827157784,Aherne's Service Station ,Topaz,Abbey Road,Thurles,185.9,down,2022-03-18,18th Mar,Heart73,Thurles,Tipperary
Tipperary,Diesel,2843,52.474410338,-8.154421050,Maxol,Maxol,Father Mathew Street,Tipperary,187.5,down,2022-08-21,21st Aug,munky,Tipperary,Tipperary
Tipperary,Diesel,440,52.656192192,-7.256056666,Irishtown Service Station,APPLEGREEN ,IRISHTOWN SERVICE STATION,Kilkenny City,188.9,down,2022-09-26,26th Sep,JoeMickey,Kilkenny,Kilkenny
Tipperary,Diesel,1282,52.360610767,-7.657363415,Amber,Amber,Waterford Rd,Clonmel,188.9,stable,2022-08-21,21st Aug,munky,Clonmel,Tipperary
Tipperary,Diesel,4410,52.666441207,-7.807202339,Maxol,Maxol,Turtulla,Thurles,188.9,up,2022-03-07,7th Mar,Heart73,Thurles,Tipperary
Tipperary,Diesel,614,52.839172844,-7.404356003,Oliver Stanley Motors,Texaco,Cullohill Road,Durrow,189.9,down,2022-11-24,24th Nov,Danno,Durrow,Laois
Tipperary,Diesel,2821,52.411323818,-8.378729147,Maxol,Maxol,Main St,Garryspillane,189.9,up,2022-10-01,1st Oct,SpaceCoyote2000,Kilmallock,Limerick
Tipperary,Diesel,2840,52.468712542,-7.831994194,Morris Oil,Morris Oil,Rosemount Park.,Rosegreen,189.9,up,2022-08-28,28th Aug,James76,Cashel,Tipperary
Tipperary,Diesel,4656,52.478977352,-8.175716400,Tipperary Town Plaza,Circle K,Tipperary Town Plaza,Tipperary,189.9,down,2022-08-21,21st Aug,munky,Tipperary,Tipperary
Tipperary,Diesel,278,52.583025861,-8.386516571,Dromkeen Filling Station,Maxol,Dromkeen,Dromkeen,189.9,down,2022-08-21,21st Aug,munky,Dromkeen,Limerick
Tipperary,Diesel,334,52.788521803,-7.332800031,Carrolls Service Station,Campus,Main Street,Ballyragget,189.9,down,2022-08-16,16th Aug,Mike59,Ballyragget,Kilkenny
Tipperary,Diesel,2932,52.750126245,-7.326215208,Fuel,Inver,Main St,Jenkinstown,189.9,down,2022-08-16,16th Aug,Mike59,Ballyragget,Kilkenny
Tipperary,Diesel,3616,52.639007501,-7.738248110,Clohessy,Independent,Main St,Littleton,189.9,down,2022-04-22,22nd Apr,Mike59,Thurles,Tipperary
Tipperary,Diesel,4097,52.268170505,-7.722251415,Doocey's,Morris Oil,Mill Street,Ballymacarbry,189.9,up,2022-04-01,1st Apr,Mike59,Ballymacarbry,Waterford
Tipperary,Diesel,2825,52.437724075,-8.411555009,Dooley Ford Centre,Topaz,Limerick Road,Bohernore,190.9,up,2022-10-01,1st Oct,SpaceCoyote2000,Knocklong,Limerick
Tipperary,Diesel,3006,52.994572423,-8.127402209,O'Brien's Service Station,Texaco,Main Street,Borrisokane,190.9,down,2022-09-12,12th Sep,gortlandroe,Borrisokane,Tipperary
Tipperary,Diesel,2793,52.360721812,-7.578915211,Morris,Morris Oil,Main St,The Forge,191.9,down,2022-08-21,21st Aug,Deweyire,Kilsheelan,Tipperary
Tipperary,Diesel,4041,52.462496081,-7.463474572,Cronin's ,Independent,N76,Ninemilehouse,192.9,down,2022-08-21,21st Aug,munky,Ninemilehouse,Tipperary
Tipperary,Diesel,3487,52.363179073,-7.709462643,Top,Top,Cashel Rd,Clonmel,192.9,down,2022-08-21,21st Aug,munky,Clonmel,Tipperary
Tipperary,Diesel,1298,52.752806517,-7.553939041,Dalys Service Station,Dalys Service Station ,Dublin Road,Johnstown,193.9,up,2022-11-24,24th Nov,PUMPS2011,Johnstown,Kilkenny
Tipperary,Diesel,2796,52.370960167,-8.345289851,Buckleys Stores,Esso,Main Street,Ballylanders,193.9,up,2022-10-01,1st Oct,SpaceCoyote2000,Ballylanders,Limerick
Tipperary,Diesel,3620,52.511493692,-7.891573906,Tesco,Tesco,Cahir Road,Cashel,195.9,up,2022-08-28,28th Aug,James76,Cashel,Tipperary
Tipperary,Diesel,1226,52.520997063,-7.887085292,Rock of Cashel Service Station,Esso,Dublin Road,Cashel,195.9,up,2022-08-27,27th Aug,James76,Cashel,Tipperary
Tipperary,Diesel,279,52.568316619,-8.337593079,Regan's Service Station,Topaz,Pallas Green,Pallas Green,195.9,down,2022-08-21,21st Aug,munky,Pallas Green,Limerick
Tipperary,Diesel,1258,52.345197800,-7.719440460,Applegreen,Applegreen,Dungarvan Rd,Clonmel,195.9,down,2022-08-08,8th Aug,PatsyJoe99,Clonmel,Tipperary
Tipperary,Diesel,4024,52.871538855,-8.196659088,Tara,Tara,Borrisokane Rd.,Nenagh,196.9,up,2022-08-05,5th Aug,micksage69,Nenagh,Tipperary
Tipperary,Diesel,1507,52.866850000,-8.182926178,Neanagh Service Station,Applegreen,Dublin Road,Nenagh,197.8,up,2022-08-05,5th Aug,micksage69,Nenagh,Tipperary
Tipperary,Diesel,1028,52.865738218,-8.187633746,Nenagh Service Station,Applegreen,Dublin Rd,Nenagh,197.8,up,2022-08-05,5th Aug,micksage69,Nenagh,Tipperary
Tipperary,Diesel,2841,52.469177029,-8.431551684,Low Cost Fuel,Independent,Main St,Hospital,198.8,up,2022-10-01,1st Oct,SpaceCoyote2000,Bruff,Limerick
Tipperary,Diesel,1045,52.992263854,-7.483491898,Mountrath Service Station,Applegreen,Limerick Road,Mountrath,198.8,up,2022-09-02,2nd Sep,micksage69,Mountrath,Laois
Tipperary,Diesel,4215,52.508907897,-7.872133255,Circle K Cashel,Topaz,Cashel,M8 Dublin to Cork Motorway,198.9,down,2022-11-20,20th Nov,Mpaul,Cashel,Tipperary
Tipperary,Diesel,2957,52.812667798,-8.437129784,O'Donovans Mace,Top,Portroe Road,Cullina,198.9,down,2022-11-12,12th Nov,volker81k,Ballina/Killaloe,Tipperary
Tipperary,Diesel,665,52.869686697,-8.217067812,independent,Independent,Gortlandroe,Nenagh,198.9,up,2022-11-12,12th Nov,volker81k,Nenagh,Tipperary
Tipperary,Diesel,1322,52.864388796,-8.193354607,Spar Express,Top / Spar Express,Old Dublin Road,Near Abbey Court,198.9,up,2022-11-06,6th Nov,volker81k,Nenagh,Tipperary
Tipperary,Diesel,4125,52.184884286,-7.694895566,Beary's Cross Stores,Independent,Beary's Cross,Lackandarra Upper,199,up,2022-04-01,1st Apr,Mike59,Kilcooney,Waterford
Tipperary,Diesel,1789,52.360466623,-7.700289488,Prior Park Service Station,Circle K,Ormonde ,Centre,199.5,down,2022-07-27,27th Jul,PatsyJoe99,Clonmel,Tipperary
Tipperary,Diesel,1505,52.861266413,-8.212482616,Cleary's of Nenagh,Esso,Limerick Rd,Nenagh,199.9,stable,2022-09-03,3rd Sep,gortlandroe,Nenagh,Tipperary
Tipperary,Diesel,3744,52.863637453,-8.209018707,Corrib Oil,Corrib Oil,Limerick Road,Nenagh,199.9,up,2022-08-05,5th Aug,micksage69,Nenagh,Tipperary
Tipperary,Diesel,2888,52.613025163,-8.344921791,Greenes Star Market,Independent,Dromsally Road,Cappamore,199.9,up,2022-08-04,4th Aug,pici2107,Cappamore,Limerick
Tipperary,Diesel,831,52.817172090,-7.476883679,Cullahill Service Station,Topaz,Main St,Cullahill,199.9,up,2022-07-14,14th Jul,josh19755,Cullahill,Laois
Tipperary,Diesel,3448,52.270935998,-8.270898759,Maxol,Maxol,Dublin Road,Mitchelstown,201.9,up,2022-10-30,30th Oct,Limerickguy ,Mitchelstown,Cork
Tipperary,Diesel,4576,52.758087261,-8.408939838,Applegreen,Applegreen,M7 JCT 27,Birdhill,202.9,down,2022-11-14,14th Nov,volker81k,Other,Limerick
Tipperary,Diesel,232,52.685098002,-7.827372551,Harvey's,Inver,Racecourse Rd,Thurles,202.9,up,2022-11-05,5th Nov,SpaceCoyote2000,Thurles,Tipperary
Tipperary,Diesel,523,52.644990362,-7.258894444,Holligan's Filling Station,Amber,College Road,Kilkenny,203.8,stable,2022-07-21,21st Jul,Deweyire,Kilkenny,Kilkenny
Tipperary,Diesel,2980,52.884944977,-8.342652347,Gleeson's Service Station,Texaco,Ballycarrido Cottages,Portroe,204.9,stable,2022-11-12,12th Nov,volker81k,Nenagh,Tipperary
Tipperary,Diesel,1585,52.946582140,-7.796591520,Circle K Express Roscrea,Circle K,Carrig,Roscrea,204.9,down,2022-10-24,24th Oct,l20,Roscrea,Tipperary
Tipperary,Diesel,1081,52.939638430,-7.626571655,Midland Service Station,Inver,Main St.,Borris In Ossory,204.9,up,2022-09-02,2nd Sep,micksage69,Borris In Ossory,Laois
Tipperary,Diesel,230,52.676640200,-7.812295716,Ely's Filling Station,Top,Slievenamon Rd,Thurles,205.9,down,2022-11-05,5th Nov,SpaceCoyote2000,Thurles,Tipperary
Tipperary,Diesel,1277,52.354111740,-7.731245033,Clonmel Service Station ,Texaco,Cahir Road,Clonmel,205.9,down,2022-06-12,12th Jun,Mpaul,Clonmel,Tipperary
Tipperary,Diesel,496,52.643314072,-7.262080908,Cross's Esso Service Station,Esso,Callan Road,Kilkenny City,209.9,stable,2022-07-30,30th Jul,Shelby boy ,Kilkenny,Kilkenny
Tipperary,Diesel,248,52.678619467,-7.819590956,Amber Express,Amber,Matthew Ave,Thurles,209.9,up,2022-06-22,22nd Jun,Fifo99,Thurles,Tipperary
Tipperary,Diesel,1293,52.719055095,-7.586084307,Texaco,Texaco,Main St,Urlingford,211.9,up,2022-06-16,16th Jun,Fifo99,Urlingford,Kilkenny
Tipperary,Diesel,1431,52.816354435,-8.313732147,Mulrooney's Service Station,Texaco,Main St,Ballywilliam,212.9,up,2022-06-22,22nd Jun,Fifo99,Nenagh,Tipperary
Tipperary,Diesel,1770,52.245562362,-8.429391682,O'Sullivan's Garage,Topaz,Main St,Kildorrery,212.9,up,2022-06-18,18th Jun,tigereyes,Mallow,Cork
Tipperary,Diesel,2946,52.791592022,-8.433316297,Larkins,Topaz,R494,Fort Henry,213.9,up,2022-06-19,19th Jun,rafesl2,Ballina,Tipperary
Tipperary,Diesel,2799,52.374106426,-7.934733649,Woodview Service Station,Texaco,Mitchelstown Road,Cahir,214.9,up,2022-07-08,8th Jul,ger80,Cahir,Tipperary
Tipperary,Diesel,1565,52.357109137,-7.682468814,Comeragh Service Station,Texaco,Davis Road,Clonmel,214.9,stable,2022-07-01,1st Jul,dean182ie,Clonmel,Tipperary
Tipperary,Diesel,2789,52.348817298,-7.412998612,Cat Rock Filling Station,Morris Oil,Greenside South,Carrick On Suir,214.9,up,2022-06-19,19th Jun,dean182ie,Carrick-on-Suir,Tipperary
Tipperary,Diesel,4299,52.857833539,-8.204448223,Top Costello,Top,Ciamalta Rd,Nenagh,215.9,up,2022-06-22,22nd Jun,Fifo99,Nenagh,Tipperary
Tipperary,Diesel,1502,52.720594149,-7.910842896,Independent,Independent,The Ragg,Bouladuff,215.9,up,2022-06-16,16th Jun,Fifo99,Bouladuff,Tipperary
Tipperary,Diesel,1480,52.682652516,-7.814798355,Top,Top,Brittas Road.,Thurles,219.9,down,2022-06-17,17th Jun,Fifo99,Thurles,Tipperary
Tipperary,Diesel,1292,52.722391980,-7.579304221,Kavanagh Service Station,Kavanagh Service Station,Main Street,Urlingford,959.9,up,2023-02-19,19th Feb,06548113...,Urlingford,Kilkenny
Tipperary,Diesel,2838,52.464103059,-8.351831559,Vivo,Vivo,Church View,Emly,997,down,2016-11-21,21st Nov,538943586,Emly,Tipperary
Tipperary,Diesel,1412,52.604298584,-8.249359131,Mace,Independent,Bank Place,Doon,999,new,2008-07-03,3rd Jul,Orli,Doon,Limerick
Tipperary,Diesel,2917,52.686158067,-7.588849154,Campus,Campus,Main St,Urard,999,,NA,30th Nov,mypois,Urlingford,Tipperary
Tipperary,Diesel,2939,52.751392844,-8.398973788,Independent,Independent,Main St,Ballyinalee,999,,NA,30th Nov,mypois,Birdhill,Tipperary
Tipperary,Diesel,2995,52.943298448,-8.043565956,Cahills,Independent,Main Street,Cloughjordan,999,,NA,30th Nov,mypois,Borrisokane,Tipperary
Tipperary,Diesel,2891,52.620857392,-7.417620382,Independent,Independent,Kilmanagh Creamery,Kilmanagh,999,,NA,30th Nov,mypois,Callan,Kilkenny
Tipperary,Diesel,2872,52.563864395,-7.671727196,Crosscannon Filling Station (Top Oil),Top Oil,Main St,Killenaule,999.9,up,2022-03-07,7th Mar,Heart73,Fethard,Tipperary
